"","id","accession","synonyms","category","disease","origin","geo","encode","omics"
"46","184","CVCL_K049","HMEC-184; HMEC 184; HMEC184","Finite cell line","","","GSM200748|GSM200749|GSM200754|GSM200755|GSM200756|GSM200757",NA,"Transcriptome analysis by microarray"
"47","184A1","CVCL_3040","184 A1; H184A1","Transformed cell line","","","GSM350522|GSM845393|GSM843436|GSM1172932|GSM1172844",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|Protein expression by reverse-phase protein arrays"
"48","184B5","CVCL_4688","184-B5; B5/589; B5-589; H184B5","Transformed cell line","","","GSM1172933|GSM1172845",NA,"Transcriptome analysis by RNAseq|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"49","1858-mel a","CVCL_DI11","1858-MEL a; 1858-MEL a (Fragment)","Cancer cell line","NCIt; C3224; Melanoma","CVCL_A1DN ! 888-EBV|CVCL_4632 ! 888-mel|CVCL_7943 ! 1290-mel|CVCL_DI12 ! 1858-mel b|CVCL_DI13 ! 1858-mel c|CVCL_DI14 ! 1936-mel|CVCL_DI15 ! 1962-mel","GSM218060",NA,"Array-based CGH|Transcriptome analysis by microarray"
"50","1858-mel b","CVCL_DI12","1858-MEL b; 1858-MEL b (Medimachine)","Cancer cell line","NCIt; C3224; Melanoma","CVCL_A1DN ! 888-EBV|CVCL_4632 ! 888-mel|CVCL_7943 ! 1290-mel|CVCL_DI11 ! 1858-mel a|CVCL_DI13 ! 1858-mel c|CVCL_DI14 ! 1936-mel|CVCL_DI15 ! 1962-mel","GSM218050",NA,"Array-based CGH|Transcriptome analysis by microarray"
"51","1858-mel c","CVCL_DI13","1858-MEL c; 1858-MEL c (Wash)","Cancer cell line","NCIt; C3224; Melanoma","CVCL_A1DN ! 888-EBV|CVCL_4632 ! 888-mel|CVCL_7943 ! 1290-mel|CVCL_DI11 ! 1858-mel a|CVCL_DI12 ! 1858-mel b|CVCL_DI14 ! 1936-mel|CVCL_DI15 ! 1962-mel","GSM218059",NA,"Array-based CGH|Transcriptome analysis by microarray"
"52","18a","CVCL_8993","iPS-18a; hiPS-18a; hiPS 18a","Induced pluripotent stem cell","","CVCL_8994 ! 18b|CVCL_8995 ! 18c","GSM637784|GSM772935|GSM773023|GSM773024|GSM773027|GSM773028|GSM773029|GSM773030|GSM773033","ENCBS424LHN|ENCBS463LFL","Transcriptome analysis by microarray|H3K9ac ChIP-seq epigenome analysis|H3K4me3 ChIP-seq epigenome analysis|H3K27ac ChIP-seq epigenome analysis|H3K4me1 ChIP-seq epigenome analysis|H3K27me3 ChIP-seq epigenome analysis|H3K36me3 ChIP-seq epigenome analysis|H3K9me3 ChIP-seq epigenome analysis"
"53","18b","CVCL_8994","iPS-18b; IPS cell line 18b; hiPS 18b; HVRDi006-A","Induced pluripotent stem cell","","CVCL_8993 ! 18a|CVCL_8995 ! 18c","GSM621411|GSM621695|GSM637785|GSM981284","ENCBS799NIQ|ENCBS869TCU","Transcriptome analysis by microarray"
"54","18c","CVCL_8995","iPS-18c; hiPS 18c","Induced pluripotent stem cell","","CVCL_8993 ! 18a|CVCL_8994 ! 18b","GSM537671|GSM537674|GSM537675|GSM537676|GSM537677|GSM537678|GSM621407|GSM621564|GSM621725|GSM637786|GSM981285","ENCBS101JWL|ENCBS182TVB|ENCBS184AWY|ENCBS223PPW|ENCBS391PLF|ENCBS529YKY|ENCBS841ZKV|ENCBS851LMU|ENCBS954GPE","Transcriptome analysis by microarray|H3K9ac ChIP-seq epigenome analysis|H3K4me3 ChIP-seq epigenome analysis|H3K27me3 ChIP-seq epigenome analysis|H3K36me3 ChIP-seq epigenome analysis|H3K9me3 ChIP-seq epigenome analysis"
"55","1936-mel","CVCL_DI14","1936-MEL; 1936-MEL (Medimachine); MG-1936","Cancer cell line","NCIt; C3224; Melanoma","CVCL_A1DN ! 888-EBV|CVCL_4632 ! 888-mel|CVCL_7943 ! 1290-mel|CVCL_DI11 ! 1858-mel a|CVCL_DI12 ! 1858-mel b|CVCL_DI13 ! 1858-mel c|CVCL_DI15 ! 1962-mel","GSM218049",NA,"Array-based CGH|Transcriptome analysis by microarray"
"56","1962-mel","CVCL_DI15","1962-MEL; MG-1962","Cancer cell line","NCIt; C3224; Melanoma","CVCL_A1DN ! 888-EBV|CVCL_4632 ! 888-mel|CVCL_7943 ! 1290-mel|CVCL_DI11 ! 1858-mel a|CVCL_DI12 ! 1858-mel b|CVCL_DI13 ! 1858-mel c|CVCL_DI14 ! 1936-mel","GSM218045",NA,"Array-based CGH|Transcriptome analysis by microarray"
"57","1A9/T80","CVCL_CZ93","1A9 T80; 1A9T80","Cancer cell line","NCIt; C7979; Ovarian endometrioid adenocarcinoma|ORDO; Orphanet_454723; Endometrioid carcinoma of ovary","","GSM95438",NA,NA
"58","2004","CVCL_U759","","Cancer cell line","NCIt; C8715; Rhabdoid tumor of the kidney|ORDO; Orphanet_69077; Rhabdoid tumor","","GSM3145685",NA,NA
"59","2008/C13*5.25","CVCL_0114","2008/C13_5_25; 2008/c13*5.25; OV 2008/C13*5.25; OV2008/C13; 2008C13; 2008 C-13; C13; 2008/C13.R; ME180C13","Cancer cell line","NCIt; C27676; Human papillomavirus-related cervical squamous cell carcinoma|ORDO; Orphanet_213767; Squamous cell carcinoma of the cervix uteri","","GSM711717|GSM851911",NA,"Transcriptome analysis by microarray|Deep proteome analysis"
"60","201B2","CVCL_A063","201-B2; KUIFMSi004-D; vWT-201B2","Induced pluripotent stem cell","","","GSM1040248|GSM1040318",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"61","201B6","CVCL_A065","201-B6; KUIFMSi004-B","Induced pluripotent stem cell","","","GSM1040249|GSM1040319|GSM1489217|GSM1489422",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"62","201B7","CVCL_A324","201-B7; 201B7-WT; 201B-7; KYOU-DXR0109B; KUIFMSi004-C; vWT-201B7; HiPS201B7; HPS0063; B7","Induced pluripotent stem cell","","","GSM241846|GSM608015|GSM608028|GSM701542|GSM1040250|GSM1040320|GSM1489218|GSM1489423|GSM2265470|GSM2265471|GSM2592201|GSM2592202|GSM2802521|GSM2802522|GSM3239683|GSM3239684",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|Deep proteome analysis|DNA methylation analysis"
"63","201T","CVCL_X481","","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","","GSM827492|GSM1669564",NA,"Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"64","20b","CVCL_8996","iPS-20b; hiPS-20b; hiPS 20b","Induced pluripotent stem cell","","","GSM637787|GSM772804|GSM772841|GSM772842|GSM772843|GSM772844|GSM772845|GSM772846|GSM772847|GSM772848|GSM981286","ENCBS206WTA|ENCBS364SXM|ENCBS391JPU|ENCBS606XXJ|ENCBS760MYS|ENCBS939PXA","Transcriptome analysis by microarray|H3K9ac ChIP-seq epigenome analysis|H3K4me3 ChIP-seq epigenome analysis|H3K27ac ChIP-seq epigenome analysis|H3K4me1 ChIP-seq epigenome analysis|H3K27me3 ChIP-seq epigenome analysis|H3K36me3 ChIP-seq epigenome analysis|H3K9me3 ChIP-seq epigenome analysis"
"65","21MT-1","CVCL_7931","21-MT-1; 21MT1","Cancer cell line","NCIt; C4872; Breast carcinoma","CVCL_7932 ! 21MT-2|CVCL_7933 ! 21NT|CVCL_7934 ! 21PT|CVCL_IP81 ! H16F1|CVCL_IP82 ! H16N-2|CVCL_IP83 ! H16N-3","GSM1172934|GSM1172846|GSM3145686",NA,"Transcriptome analysis by RNAseq|SNP array analysis|Deep exome analysis"
"66","21MT-2","CVCL_7932","21-MT-2; 21MT2","Cancer cell line","NCIt; C4872; Breast carcinoma","CVCL_7931 ! 21MT-1|CVCL_7933 ! 21NT|CVCL_7934 ! 21PT|CVCL_IP81 ! H16F1|CVCL_IP82 ! H16N-2|CVCL_IP83 ! H16N-3","GSM1172935|GSM1172847|GSM3145687",NA,"Transcriptome analysis by RNAseq|SNP array analysis|Deep exome analysis"
"67","21NT","CVCL_7933","21 NT","Cancer cell line","NCIt; C4872; Breast carcinoma","CVCL_7931 ! 21MT-1|CVCL_7932 ! 21MT-2|CVCL_7934 ! 21PT|CVCL_IP81 ! H16F1|CVCL_IP82 ! H16N-2|CVCL_IP83 ! H16N-3","GSM1172936|GSM1172848|GSM1664566|GSM3145688",NA,"Transcriptome analysis by RNAseq|SNP array analysis|Deep exome analysis"
"68","21PT","CVCL_7934","21 PT","Cancer cell line","NCIt; C4872; Breast carcinoma","CVCL_7931 ! 21MT-1|CVCL_7932 ! 21MT-2|CVCL_7933 ! 21NT|CVCL_IP81 ! H16F1|CVCL_IP82 ! H16N-2|CVCL_IP83 ! H16N-3","GSM1172937|GSM1172849|GSM3145689",NA,"Transcriptome analysis by RNAseq|SNP array analysis|Deep exome analysis"
"69","225C7","CVCL_DP91","","Induced pluripotent stem cell","","","GSM1040269|GSM1040339",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"70","22Rv1","CVCL_1045","22RV1; 22Rv-1; 22rV1; CWR-22rv1; CWR22-Rv1; CWR22R-V1; CWR22-R1; CWR22Rv1; CWR22R","Cancer cell line","NCIt; C4863; Prostate carcinoma","","GSM91926|GSM525793|GSM648815|GSM827396|GSM886837|GSM887900|GSM1374375|GSM1633317|GSM1633318|GSM1633319|GSM1669565|GSM3145703","ENCBS070BKF|ENCBS383WOY|ENCBS596KKM|ENCBS626QQL|ENCBS737IZN|ENCBS822DIG","Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis|shRNA library screening"
"71","22Rv1-SL","CVCL_WZ28","Stem-Like 22Rv1; 22Rv1-Stem Like","Cancer cell line","NCIt; C4863; Prostate carcinoma","","GSM1633320|GSM1633321|GSM1633322",NA,"Transcriptome analysis by microarray"
"72","23132/87","CVCL_1046","23132-87; 2313287; St 23132; St23132; 23132","Cancer cell line","NCIt; C4004; Gastric adenocarcinoma","","GSM827572|GSM886838|GSM887901|GSM1374371|GSM1374372|GSM1669566",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"73","246G1","CVCL_C243","KUIFMSi011-A","Induced pluripotent stem cell","","","GSM1040270|GSM1040340|GSM1489424",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"74","253G1","CVCL_B518","253-G1; HiPS253G1; HPS0002","Induced pluripotent stem cell","","","GSM1040251|GSM1040321|GSM1489219|GSM1489425",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"75","253G4","CVCL_T792","253-G4; 253G-4; HPS4291","Induced pluripotent stem cell","","","GSM1040252|GSM1040322|GSM1489220|GSM1489250|GSM1489426",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"76","253J","CVCL_7935","253j; 253-J; 253 J; 253J-P; 253J-Parental; 253J P; 253JP","Cancer cell line","NCIt; C4912; Bladder carcinoma","","GSM136240|GSM1574546|GSM1574574",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis"
"77","253J-BV","CVCL_7937","253JB-V; 253J B-V; 253JBV; 253J-Bladder-V","Cancer cell line","NCIt; C4912; Bladder carcinoma","","GSM136239",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|Deep exome analysis"
"78","273T","CVCL_X482","","Cancer cell line","NCIt; C3493; Lung squamous cell carcinoma","","GSM784285|GSM827491",NA,"SNP array analysis"
"79","27b","CVCL_8997","iPS-27b; hiPS-27b; hiPS 27b; 27b-ALS; SOD1-27b; HVRDi008-B; HVRDi012-A","Induced pluripotent stem cell","NCIt; C168749; Amyotrophic lateral sclerosis 1|ORDO; Orphanet_803; Amyotrophic lateral sclerosis","CVCL_8998 ! 27e","GSM637788|GSM670070","ENCBS466JVT","Transcriptome analysis by microarray"
"80","27e","CVCL_8998","iPS-27e; hiPS 27e; hiPS-27e; 27e-ALS; SOD1-27e; HVRDi008-A","Induced pluripotent stem cell","NCIt; C168749; Amyotrophic lateral sclerosis 1|ORDO; Orphanet_803; Amyotrophic lateral sclerosis","CVCL_8997 ! 27b","GSM637789|GSM670064","ENCBS626IJF","Transcriptome analysis by microarray"
"81","293/pmiR-155","CVCL_IM63","","Transformed cell line","","","GSM235038|GSM235039|GSM235040|GSM235041",NA,"Transcriptome analysis by microarray"
"82","293/pmiR-K12-11","CVCL_IM64","","Transformed cell line","","","GSM235042|GSM235043|GSM235044|GSM235045",NA,"Transcriptome analysis by microarray"
"83","297A1","CVCL_DP73","1503-4f1; HPS0057","Induced pluripotent stem cell","","","GSM1040266|GSM1040336",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"84","297F1","CVCL_DP71","1392-4f2; HPS0058","Induced pluripotent stem cell","","","GSM1040264|GSM1040334",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"85","2LMP","CVCL_EQ20","2-LMP","Cancer cell line","NCIt; C5214; Breast adenocarcinoma","","GSM1401670",NA,"Transcriptome analysis by RNAseq"
"86","346D1","CVCL_DQ33","","Induced pluripotent stem cell","","","GSM2152671",NA,NA
"87","346E1","CVCL_DQ34","","Induced pluripotent stem cell","","","GSM2152672",NA,NA
"88","346E2","CVCL_DQ35","","Induced pluripotent stem cell","","","GSM2152673",NA,NA
"89","346F1","CVCL_DQ36","","Induced pluripotent stem cell","","","GSM2152674",NA,NA
"90","363G1","CVCL_DQ37","","Induced pluripotent stem cell","","","GSM2152675",NA,NA
"91","380","CVCL_1047","","Cancer cell line","NCIt; C9140; Childhood B acute lymphoblastic leukemia|ORDO; Orphanet_99860; Precursor B-cell acute lymphoblastic leukemia","","GSM119536|GSM236776|GSM236812|GSM1035325|GSM5137703",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep quantitative proteome analysis"
"92","404C2","CVCL_DP92","404C-2","Induced pluripotent stem cell","","","GSM1040274|GSM1040344|GSM1489194|GSM1489223|GSM1489252|GSM1489427",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"93","409B2","CVCL_K092","409-B2; 409B-2; HPS0076; BRCi023-A; CIRAi007-A","Induced pluripotent stem cell","","","GSM1040275|GSM1040345|GSM1489195|GSM1489224|GSM1489251|GSM1489428",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"94","414C2","CVCL_DP60","414C-2; HPS4292","Induced pluripotent stem cell","","","GSM1040276|GSM1040346|GSM1899767",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"95","418C1","CVCL_DP93","418C-1","Induced pluripotent stem cell","","","GSM1489289",NA,NA
"96","41M","CVCL_4993","41-M; OAW41M; 041M; 41 M","Cancer cell line","NCIt; C105555; High grade ovarian serous adenocarcinoma","","GSM313659|GSM851922",NA,"Transcriptome analysis by microarray"
"97","41M-cisR","CVCL_N788","41M/cisR; 41McisR","Cancer cell line","NCIt; C105555; High grade ovarian serous adenocarcinoma","","GSM851923",NA,"Transcriptome analysis by microarray"
"98","42-MG-BA","CVCL_1798","42MGBA","Cancer cell line","NCIt; C3058; Glioblastoma|ORDO; Orphanet_360; Glioblastoma","","GSM326214|GSM886839|GSM887902|GSM1669567",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"99","421C1","CVCL_DP94","421C-1","Induced pluripotent stem cell","","","GSM1899765",NA,NA
"100","427F1","CVCL_DQ31","","Induced pluripotent stem cell","","","GSM1489196|GSM1489225|GSM1489431",NA,NA
"101","428C2","CVCL_DP97","428C-2","Induced pluripotent stem cell","","","GSM1899766",NA,NA
"102","451F3","CVCL_DP98","451F-3","Induced pluripotent stem cell","","","GSM1040277|GSM1040347|GSM1489197|GSM1489241|GSM1489432",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"103","451Lu","CVCL_6357","451LU; 451-LU; WM 451-Lu; WM-451Lu; WM-451LU; WM451Lu; WM451; WC00059; LU451; Lu451; EST81","Cancer cell line","NCIt; C3510; Cutaneous melanoma","","GSM156019|GSM188238|GSM188268|GSM188327|GSM555137|GSM555187|GSM952579|GSM1199178|GSM1669568",NA,"Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"104","451Lu-MR","CVCL_DG54","","Cancer cell line","NCIt; C3510; Cutaneous melanoma","","GSM1199179",NA,NA
"105","453C2","CVCL_DR12","","Induced pluripotent stem cell","","","GSM1899762",NA,NA
"106","453F2","CVCL_DP99","453F-2","Induced pluripotent stem cell","","","GSM1899759",NA,NA
"107","454B1","CVCL_DQ01","454B-1","Induced pluripotent stem cell","","","GSM1899760",NA,NA
