"id","accession","synonyms","category","disease","origin","geo","encode","omics"
"786-O","CVCL_1051","786-o; 786O; 786-0; 786.O; 786-O RCC; RCC 786-O; RCC_7860; RCC 7860; 7860; 786-0WT","Cancer cell line","NCIt; C9385; Renal cell carcinoma|ORDO; Orphanet_217071; Renal cell carcinoma","","GSM2128|GSM50226|GSM50290|GSM482711|GSM743488|GSM750838|GSM799371|GSM799377|GSM799434|GSM843437|GSM846283|GSM886845|GSM887909|GSM1153444|GSM1177874|GSM1177875|GSM1177876|GSM1181296|GSM1181322|GSM1669572|GSM2124635","ENCBS261AAA|ENCBS413VCR|ENCBS807WMR","Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|Deep proteome analysis|DNA methylation analysis|Cell surface proteome|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|shRNA library screening|GPI-anchored proteins analysis by proteomics|Fluorescence phenotype profiling|lncRNA expression profiling|Metabolome analysis"
"8-MG-BA","CVCL_1052","8MGBA","Cancer cell line","NCIt; C3058; Glioblastoma|ORDO; Orphanet_360; Glioblastoma","","GSM326211|GSM886848|GSM887912|GSM1669575",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"8305C","CVCL_1053","8305c; 8305-C; 8305C_1","Cancer cell line","NCIt; C3878; Thyroid gland anaplastic carcinoma|ORDO; Orphanet_142; Anaplastic thyroid carcinoma","","GSM886846|GSM887910|GSM1669573",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"8505C","CVCL_1054","8505c","Cancer cell line","NCIt; C3878; Thyroid gland anaplastic carcinoma|ORDO; Orphanet_142; Anaplastic thyroid carcinoma","","GSM886847|GSM887911|GSM1669574",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"85As2","CVCL_D5HV","","Cancer cell line","NCIt; C4004; Gastric adenocarcinoma","","GSM3097054|GSM3097055|GSM3097056",NA,"Transcriptome analysis by microarray"
"888-mel","CVCL_4632","888-MEL; 888 mel; 888mel; 888MEL; 888; Mel888; mel888; MG-888","Cancer cell line","NCIt; C3224; Melanoma","CVCL_7943 ! 1290-mel|CVCL_DI11 ! 1858-mel a|CVCL_DI12 ! 1858-mel b|CVCL_DI13 ! 1858-mel c|CVCL_DI14 ! 1936-mel|CVCL_DI15 ! 1962-mel|CVCL_A1DN ! 888-EBV","GSM206439|GSM218046|GSM274691|GSM1092556|GSM1507930",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis"
"92-1 [Human bladder carcinoma]","CVCL_W909","TCC 92-1","Cancer cell line","NCIt; C4912; Bladder carcinoma","","GSM1567847|GSM1574585|GSM1574588",NA,"Transcriptome analysis by microarray|SNP array analysis|CNV analysis"
"92-1 [Human uveal melanoma]","CVCL_8607","92_1; 92.1; 921","Cancer cell line","NCIt; C7712; Uveal melanoma|ORDO; Orphanet_39044; Uveal melanoma","CVCL_C300 ! 92-2","GSM276761",NA,"Transcriptome analysis by microarray|Deep quantitative proteome analysis"
"938-mel","CVCL_8058","938-MEL; 938 mel; 938","Cancer cell line","NCIt; C3224; Melanoma","","GSM218055|GSM1092561",NA,"Array-based CGH|Transcriptome analysis by microarray"
"96-1","CVCL_8609","TCC 96-1","Cancer cell line","NCIt; C4912; Bladder carcinoma","","GSM1567848|GSM1574576",NA,"Transcriptome analysis by microarray|SNP array analysis|CNV analysis"
"97-1 [Human bladder carcinoma]","CVCL_8616","TCC 97-1","Cancer cell line","NCIt; C4912; Bladder carcinoma","","GSM1567849|GSM1574542",NA,"Transcriptome analysis by microarray|SNP array analysis|CNV analysis"
"97-18-I","CVCL_8619","TCC 97-18-I; TCC 97-18; 97-18","Cancer cell line","NCIt; C4912; Bladder carcinoma","CVCL_8620 ! 97-21-M","GSM1567850|GSM1574577",NA,"Transcriptome analysis by microarray|SNP array analysis|CNV analysis"
"97-24","CVCL_8621","TCC 97-24","Cancer cell line","NCIt; C4912; Bladder carcinoma","","GSM1567851|GSM1574582|GSM1574589",NA,"Transcriptome analysis by microarray|SNP array analysis|CNV analysis"
"97-7","CVCL_8625","TCC 97-7","Cancer cell line","NCIt; C4912; Bladder carcinoma","","GSM1567852|GSM1574551",NA,"Transcriptome analysis by microarray|SNP array analysis|CNV analysis"
"A-172","CVCL_0131","A172; A 172; A-172 MG; A-172MG","Cancer cell line","NCIt; C3058; Glioblastoma|ORDO; Orphanet_360; Glioblastoma","","GSM101609|GSM101610|GSM326244|GSM886850|GSM887914|GSM1374378|GSM1669577","ENCBS225AJI|ENCBS874LTK","Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|CNV analysis|DNA methylation analysis|Deep quantitative proteome analysis|shRNA library screening"
"A-204","CVCL_1058","A204","Cancer cell line","NCIt; C8971; Embryonal rhabdomyosarcoma|ORDO; Orphanet_99757; Embryonal rhabdomyosarcoma","","GSM184386|GSM184387|GSM886851|GSM887915|GSM1669578|GSM1676295|GSM1676338|GSM1701622|GSM1701670|GSM1701697",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|shRNA library screening|Deep phosphoproteome analysis"
"A-253","CVCL_1060","A 253; A253","Cancer cell line","NCIt; C5943; Submandibular gland squamous cell carcinoma|ORDO; Orphanet_500481; Squamous cell carcinoma of salivary glands","","GSM422867|GSM423670|GSM886852|GSM887917|GSM1669580",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"A-375","CVCL_0132","A 375; A375; A375-MEL; A375-mel; A375mel; 375","Cancer cell line","NCIt; C3802; Amelanotic melanoma","","GSM206443|GSM218051|GSM274681|GSM276771|GSM555121|GSM555173|GSM827158|GSM886854|GSM887919|GSM952580|GSM1092559|GSM1138787|GSM1177892|GSM1177893|GSM1374382|GSM1669582|GSM1671962|GSM1671967|GSM1671977|GSM1671981|GSM1671982|GSM1671987|GSM1671990|GSM1672001|GSM1672004|GSM1672007|GSM1672011|GSM1672017|GSM1672024|GSM1672027|GSM1672030|GSM1672039|GSM1672051|GSM1672062|GSM1672067|GSM1672078|GSM1672097|GSM1672102|GSM1672119|GSM1672135|GSM3039510|GSM3039516|GSM3039517|GSM3039518","ENCBS606AAA|ENCBS607AAA","Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|Deep proteome analysis|DNA methylation analysis|Proteome analysis by 2D-DE/MS|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|Deep phosphoproteome analysis|Secretome proteome analysis"
"A-388","CVCL_1063","A388","Cancer cell line","NCIt; C4819; Skin squamous cell carcinoma","","GSM1669583",NA,"Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"A-427","CVCL_1055","A427; A427N","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","CVCL_ZX72 ! A-427F","GSM206444|GSM274755|GSM274756|GSM353235|GSM434323|GSM784204|GSM827284|GSM1374383|GSM1526628|GSM1526629|GSM1669585",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Deep proteome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis"
"A-431","CVCL_0037","A431; A431/P","Cancer cell line","NCIt; C4819; Skin squamous cell carcinoma","","GSM183432|GSM183433|GSM270524|GSM270525|GSM270526|GSM827302|GSM1374384|GSM1669586|GSM2112551|GSM2112555",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Deep proteome analysis|DNA methylation analysis|Cell surface proteome|Deep quantitative proteome analysis|HLA class I peptidome analysis by proteomics|Deep phosphoproteome analysis|Deep antibody staining analysis"
"A-498","CVCL_1056","A498","Cancer cell line","NCIt; C9385; Renal cell carcinoma|ORDO; Orphanet_217071; Renal cell carcinoma","","GSM2132|GSM50227|GSM50291|GSM743481|GSM750836|GSM799372|GSM799435|GSM846284|GSM843438|GSM886856|GSM887921|GSM1153445|GSM1181297|GSM1181323|GSM1669587|GSM2124636",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|Deep proteome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|GPI-anchored proteins analysis by proteomics|Fluorescence phenotype profiling|lncRNA expression profiling|Metabolome analysis"
